date,day,off,id,item_id,name,price,high,low,open,time,updated_at
1399-11-27,Mon,0,56841362,137203,price_dollar_rl,249740,249850,249740,249780,2021-02-15 00:00:00,2021-02-16 00:03:18
1399-11-28,Tue,0,56887687,137203,price_dollar_rl,249740,249850,249740,249820,2021-02-16 00:00:00,2021-02-17 00:03:54
1399-11-29,Wed,0,56960509,137203,price_dollar_rl,251750,251850,249740,249780,2021-02-17 00:00:00,2021-02-18 00:04:55
1399-11-30,Thu,0,57037537,137203,price_dollar_rl,251710,253620,251640,251710,2021-02-18 00:00:00,2021-02-19 00:04:53
1399-12-01,Fri,0,57159809,137203,price_dollar_rl,249990,252250,249920,251750,2021-02-20 00:00:00,2021-02-21 00:04:21
1399-12-02,Sat,0,57159809,137203,price_dollar_rl,249990,252250,249920,251750,2021-02-20 00:00:00,2021-02-21 00:04:21
1399-12-03,Sun,0,57164579,137203,price_dollar_rl,242530,250030,242400,249970,2021-02-21 00:00:00,2021-02-22 00:01:49
1399-12-04,Mon,0,57173765,137203,price_dollar_rl,241880,243750,241790,242510,2021-02-22 00:00:00,2021-02-23 00:04:15
1399-12-05,Tue,0,57257130,137203,price_dollar_rl,246420,246520,241790,241810,2021-02-23 00:00:00,2021-02-24 00:05:41
1399-12-06,Wed,0,57322712,137203,price_dollar_rl,248210,252520,246410,246510,2021-02-24 00:00:00,2021-02-25 00:05:30
1399-12-07,Thu,0,57322712,137203,price_dollar_rl,248210,252520,246410,246510,2021-02-24 00:00:00,2021-02-25 00:05:30
1399-12-08,Fri,0,57523246,137203,price_dollar_rl,252400,253720,248110,248150,2021-02-27 00:00:00,2021-02-28 00:03:52
1399-12-09,Sat,0,57523246,137203,price_dollar_rl,252400,253720,248110,248150,2021-02-27 00:00:00,2021-02-28 00:03:52
1399-12-10,Sun,0,57527504,137203,price_dollar_rl,247050,252440,246960,252430,2021-02-28 00:00:00,2021-03-01 00:01:59
1399-12-11,Mon,0,57533191,137203,price_dollar_rl,247480,249500,246960,247030,2021-03-01 00:00:00,2021-03-02 00:03:39
1399-12-12,Tue,0,57609220,137203,price_dollar_rl,244370,247590,244280,247580,2021-03-02 00:00:00,2021-03-03 00:04:50
1399-12-13,Wed,0,57674874,137203,price_dollar_rl,246680,247910,244330,244330,2021-03-03 00:00:00,2021-03-04 00:05:00
1399-12-14,Thu,0,57753527,137203,price_dollar_rl,246610,246790,246530,246700,2021-03-04 00:00:00,2021-03-05 00:04:30
1399-12-15,Fri,0,57869393,137203,price_dollar_rl,242710,246770,242700,246580,2021-03-06 00:00:00,2021-03-07 00:03:38
1399-12-16,Sat,0,57869393,137203,price_dollar_rl,242710,246770,242700,246580,2021-03-06 00:00:00,2021-03-07 00:03:38
1399-12-17,Sun,0,57873553,137203,price_dollar_rl,239900,242810,239850,242800,2021-03-07 00:00:00,2021-03-08 00:01:44
1399-12-18,Mon,0,57879900,137203,price_dollar_rl,243210,244610,239850,239960,2021-03-08 00:00:00,2021-03-09 00:03:48
1399-12-19,Tue,0,57959153,137203,price_dollar_rl,242070,244280,241050,243240,2021-03-09 00:00:00,2021-03-10 00:04:37
1399-12-20,Wed,0,58024168,137203,price_dollar_rl,242420,242710,241240,242100,2021-03-10 00:00:00,2021-03-11 00:04:25
1399-12-21,Thu,0,58024168,137203,price_dollar_rl,242420,242710,241240,242100,2021-03-10 00:00:00,2021-03-11 00:04:25
1399-12-22,Fri,0,58210053,137203,price_dollar_rl,241770,243850,241770,242400,2021-03-13 00:00:00,2021-03-14 00:03:53
